ticket_id,created_at,subject,description,category,priority,source,affected_service
TKT-0816,2026-08-26 16:09:00,Unusual password reset,I received a password reset notification that I did not request. This started this morning.,Security,High,Phone,Email Gateway
TKT-0615,2026-08-28 12:52:00,Laptop will not start,"IT team, Several keys stopped responding after I returned from lunch. I am working remotely today.",Hardware,High,Chat,Monitor
TKT-0319,2026-06-24 14:52:00,Email not sending,"IT team, I am receiving a large increase in unwanted messages today. The issue continues after a restart.",Email,Medium,Chat,Outlook
TKT-0483,2026-06-08 11:37:00,Software install request,The latest update repeatedly fails near the end of installation. Please let me know what information you need.,Software,High,Portal,PDF Editor
TKT-0753,2026-07-12 12:46:00,Possible malware warning,Please help. The account portal reported a login from a location I do not recognize. I have a client deadline later today.,Security,Critical,Phone,Email Gateway
TKT-0240,2026-06-19 15:12:00,Wi Fi keeps dropping,Please help. My wireless connection disconnects every few minutes in the office. Please let me know what information you need.,Network and VPN,Medium,Phone,Project File Share
TKT-0253,2026-07-13 00:19:00,No network access,"Hi support, My wireless connection disconnects every few minutes in the office. Another team member can use the same service.",Network and VPN,Low,Portal,Project File Share
TKT-0829,2026-06-28 10:51:00,Suspicious email received,The account portal reported a login from a location I do not recognize. There is no error code displayed.,Security,Medium,Phone,Identity Portal
TKT-0581,2026-07-15 07:00:00,Application crashes,Please help. The program displays an error message and will not open. The problem began after the latest update.,Software,Medium,Email,Finance Application
TKT-0129,2026-07-06 23:43:00,Cannot sign in,The multifactor authentication code is not arriving on my phone. There is no error code displayed.,Account Access,Low,Email,Identity Portal
TKT-0815,2026-08-28 05:14:00,Unexpected login alert,"IT team, The account portal reported a login from a location I do not recognize. I am working remotely today.",Security,High,Email,Endpoint Protection
TKT-0364,2026-08-08 15:45:00,Email not sending,"Hello, Several expected emails are missing even though the senders received no error. I am working remotely today.",Email,Medium,Chat,Exchange Online
TKT-0113,2026-06-12 08:44:00,MFA code not working,The multifactor authentication code is not arriving on my phone. Another team member can use the same service.,Account Access,Medium,Portal,Microsoft 365
TKT-0132,2026-07-13 14:31:00,Access denied,I can sign in to my laptop but the application says I do not have access. Please let me know what information you need.,Account Access,Low,Portal,Project Portal
TKT-0675,2026-07-14 04:25:00,Laptop will not start,The second monitor is blank and is not shown in display settings. I am working remotely today.,Hardware,Low,Phone,Keyboard
TKT-0202,2026-08-01 10:09:00,No network access,My laptop shows connected to Wi Fi but no internal sites will load. I have a client deadline later today.,Network and VPN,Medium,Email,Project File Share
TKT-0556,2026-08-07 06:43:00,Application crashes,Please help. I need the approved software installed for a new assignment. There is no error code displayed.,Software,High,Email,Finance Application
TKT-0879,2026-06-20 11:36:00,Unusual password reset,Please help. I received an email asking me to sign in through a link that does not look legitimate. The problem began after the latest update.,Security,Medium,Phone,Identity Portal
TKT-0046,2026-08-22 15:30:00,Cannot sign in,Please help. I changed my password this morning and now my credentials are rejected. Another team member can use the same service.,Account Access,Low,Email,Time Entry
TKT-0408,2026-08-02 07:06:00,Email not sending,"Hi support, A project attachment is being blocked when I try to send it. The issue continues after a restart.",Email,Medium,Chat,Shared Mailbox
TKT-0316,2026-08-06 05:15:00,Email not sending,"Hello, Several expected emails are missing even though the senders received no error. The problem began after the latest update.",Email,Medium,Phone,Email Gateway
TKT-0007,2026-06-21 04:18:00,Account locked,Please help. My password expired and the reset page will not accept the new password. Please let me know what information you need.,Account Access,Medium,Portal,Project Portal
TKT-0328,2026-08-12 14:08:00,Mailbox is full,"Hello, Several expected emails are missing even though the senders received no error. Please let me know what information you need.",Email,Medium,Portal,Outlook
TKT-0256,2026-06-07 16:26:00,VPN will not connect,"IT team, My laptop shows connected to Wi Fi but no internal sites will load. I am working remotely today.",Network and VPN,High,Portal,Corporate VPN
TKT-0173,2026-07-09 13:03:00,VPN will not connect,"IT team, My laptop shows connected to Wi Fi but no internal sites will load. Another team member can use the same service.",Network and VPN,High,Chat,Project File Share
TKT-0375,2026-07-08 13:52:00,Attachment blocked,"IT team, I am receiving a large increase in unwanted messages today. Please let me know what information you need.",Email,Medium,Chat,Email Gateway
TKT-0107,2026-07-12 19:43:00,Account locked,Please help. I can sign in to my laptop but the application says I do not have access. The problem began after the latest update.,Account Access,Low,Chat,Project Portal
TKT-0028,2026-08-29 21:30:00,Account locked,"IT team, The multifactor authentication code is not arriving on my phone. There is no error code displayed.",Account Access,Medium,Chat,Project Portal
TKT-0730,2026-07-29 18:59:00,Battery drains quickly,"Hi support, The second monitor is blank and is not shown in display settings. Please let me know what information you need.",Hardware,Medium,Chat,Keyboard
TKT-0321,2026-06-01 12:51:00,Missing messages,"IT team, Several expected emails are missing even though the senders received no error. Another team member can use the same service.",Email,Medium,Chat,Exchange Online
TKT-0764,2026-06-28 23:18:00,Lost company device,I received an email asking me to sign in through a link that does not look legitimate. Please let me know what information you need.,Security,High,Phone,Email Gateway
TKT-0578,2026-06-05 11:36:00,Update failed,"Hi support, The application closes immediately after I open the project file. The issue continues after a restart.",Software,Medium,Email,PDF Editor
TKT-0668,2026-07-11 09:12:00,Laptop will not start,Please help. USB devices disconnect whenever I connect through the docking station. This started this morning.,Hardware,Medium,Phone,Docking Station
TKT-0643,2026-08-10 01:34:00,Keyboard stopped working,Please help. The second monitor is blank and is not shown in display settings. The issue continues after a restart.,Hardware,Low,Chat,Monitor
TKT-0505,2026-08-02 00:16:00,Update failed,"Hello, I need the approved software installed for a new assignment. I have a client deadline later today.",Software,Medium,Email,Finance Application
TKT-0112,2026-06-21 18:58:00,Account locked,The multifactor authentication code is not arriving on my phone. The issue continues after a restart.,Account Access,Low,Portal,Identity Portal
TKT-0027,2026-08-08 08:24:00,Access denied,Please help. I can sign in to my laptop but the application says I do not have access. There is no error code displayed.,Account Access,Medium,Email,Identity Portal
TKT-0076,2026-08-30 12:41:00,Access denied,"Hi support, I changed my password this morning and now my credentials are rejected. Please let me know what information you need.",Account Access,Medium,Phone,Project Portal
TKT-0655,2026-07-26 12:15:00,Battery drains quickly,"IT team, The laptop does not power on even when it is connected to the charger. I am working remotely today.",Hardware,Low,Phone,Battery
TKT-0603,2026-06-24 19:00:00,Battery drains quickly,The second monitor is blank and is not shown in display settings. This started this morning.,Hardware,Medium,Portal,Laptop
TKT-0190,2026-08-09 01:53:00,Remote connection is slow,"IT team, The VPN client stops while connecting and reports that the gateway is unavailable. I am working remotely today.",Network and VPN,Low,Email,Remote Desktop
TKT-0218,2026-08-06 23:44:00,No network access,"Hi support, Websites work but I cannot reach the shared project drive from home. The issue continues after a restart.",Network and VPN,Medium,Chat,Project File Share
TKT-0309,2026-06-09 10:02:00,Email not sending,A project attachment is being blocked when I try to send it. I have a client deadline later today.,Email,High,Portal,Shared Mailbox
TKT-0161,2026-08-29 04:55:00,Remote connection is slow,Please help. The network connection is extremely slow when I open large files remotely. The issue continues after a restart.,Network and VPN,Medium,Email,Remote Desktop
TKT-0355,2026-06-21 00:48:00,Too much spam,"IT team, Outlook reports that my mailbox has reached its storage limit. There is no error code displayed.",Email,High,Chat,Email Gateway
TKT-0298,2026-06-12 20:04:00,VPN will not connect,"Hi support, Websites work but I cannot reach the shared project drive from home. This started this morning.",Network and VPN,Low,Phone,Remote Desktop
TKT-0469,2026-07-14 07:06:00,License error,Please help. I need the approved software installed for a new assignment. The issue continues after a restart.,Software,Medium,Portal,PDF Editor
TKT-0561,2026-07-20 10:36:00,Application crashes,Please help. The program displays an error message and will not open. The problem began after the latest update.,Software,Low,Phone,Project Management Tool
TKT-0301,2026-07-21 08:07:00,Missing messages,Please help. A project attachment is being blocked when I try to send it. I have a client deadline later today.,Email,Medium,Phone,Email Gateway
TKT-0352,2026-07-09 09:01:00,Missing messages,"Hello, Messages remain in the outbox and do not send to external recipients. Another team member can use the same service.",Email,Medium,Phone,Outlook
TKT-0195,2026-08-02 05:42:00,No network access,"Hello, Websites work but I cannot reach the shared project drive from home. This started this morning.",Network and VPN,High,Portal,Remote Desktop
TKT-0096,2026-06-05 08:24:00,Cannot sign in,"Hello, I entered the wrong password several times and my account is now locked. Please let me know what information you need.",Account Access,Low,Email,Identity Portal
TKT-0783,2026-06-20 07:06:00,Suspicious email received,My company phone is missing and may have been left in a public location. There is no error code displayed.,Security,High,Email,Email Gateway
TKT-0059,2026-06-10 07:08:00,Cannot sign in,"Hi support, I can sign in to my laptop but the application says I do not have access. I have a client deadline later today.",Account Access,Medium,Email,Identity Portal
TKT-0520,2026-08-24 14:18:00,Update failed,Please help. The latest update repeatedly fails near the end of installation. Another team member can use the same service.,Software,Low,Portal,CAD Application
TKT-0533,2026-08-07 12:02:00,License error,"Hi support, I need the approved software installed for a new assignment. The problem began after the latest update.",Software,Low,Phone,CAD Application
TKT-0246,2026-08-28 13:18:00,Remote connection is slow,"Hi support, My wireless connection disconnects every few minutes in the office. There is no error code displayed.",Network and VPN,High,Phone,Remote Desktop
TKT-0345,2026-07-20 21:11:00,Too much spam,Please help. Several expected emails are missing even though the senders received no error. The issue continues after a restart.,Email,Low,Chat,Exchange Online
TKT-0296,2026-07-01 23:30:00,Cannot reach shared drive,"IT team, The network connection is extremely slow when I open large files remotely. Another team member can use the same service.",Network and VPN,High,Chat,Remote Desktop
TKT-0542,2026-08-07 02:29:00,Program will not open,The program says no license is available even though I used it yesterday. The problem began after the latest update.,Software,High,Email,Project Management Tool
TKT-0079,2026-07-10 06:30:00,Password reset needed,I can sign in to my laptop but the application says I do not have access. There is no error code displayed.,Account Access,Medium,Phone,Identity Portal
TKT-0087,2026-07-25 01:18:00,Cannot sign in,"IT team, My password expired and the reset page will not accept the new password. I am working remotely today.",Account Access,Medium,Portal,Project Portal
TKT-0225,2026-06-25 15:19:00,Wi Fi keeps dropping,Please help. My laptop shows connected to Wi Fi but no internal sites will load. The problem began after the latest update.,Network and VPN,Low,Email,Corporate VPN
TKT-0788,2026-06-04 21:54:00,Suspicious email received,"Hi support, The account portal reported a login from a location I do not recognize. I am working remotely today.",Security,Critical,Phone,Endpoint Protection
TKT-0696,2026-06-11 14:37:00,Monitor not detected,"Hello, USB devices disconnect whenever I connect through the docking station. This started this morning.",Hardware,High,Chat,Battery
TKT-0091,2026-08-07 13:00:00,Account locked,Please help. I entered the wrong password several times and my account is now locked. I am working remotely today.,Account Access,Low,Portal,Microsoft 365
TKT-0111,2026-06-08 08:31:00,MFA code not working,"Hello, The multifactor authentication code is not arriving on my phone. This started this morning.",Account Access,Medium,Email,Time Entry
TKT-0310,2026-06-27 02:36:00,Email not sending,"Hello, Outlook reports that my mailbox has reached its storage limit. The issue continues after a restart.",Email,High,Portal,Exchange Online
TKT-0088,2026-06-25 21:50:00,Password reset needed,"Hi support, The multifactor authentication code is not arriving on my phone. The issue continues after a restart.",Account Access,Medium,Phone,Time Entry
TKT-0019,2026-08-15 06:01:00,Access denied,"IT team, I entered the wrong password several times and my account is now locked. Another team member can use the same service.",Account Access,Low,Portal,Time Entry
TKT-0611,2026-07-25 16:21:00,Docking station issue,"Hi support, USB devices disconnect whenever I connect through the docking station. Another team member can use the same service.",Hardware,Medium,Chat,Battery
TKT-0146,2026-08-21 03:33:00,MFA code not working,"Hello, I entered the wrong password several times and my account is now locked. Please let me know what information you need.",Account Access,Medium,Phone,Project Portal
TKT-0101,2026-06-06 04:03:00,MFA code not working,"Hi support, I entered the wrong password several times and my account is now locked. There is no error code displayed.",Account Access,Medium,Phone,Project Portal
TKT-0135,2026-07-30 13:30:00,Cannot sign in,"Hello, I can sign in to my laptop but the application says I do not have access. I am working remotely today.",Account Access,High,Phone,Identity Portal
TKT-0685,2026-08-04 16:45:00,Battery drains quickly,USB devices disconnect whenever I connect through the docking station. There is no error code displayed.,Hardware,High,Email,Keyboard
TKT-0459,2026-07-01 22:28:00,Software install request,Please help. The latest update repeatedly fails near the end of installation. Please let me know what information you need.,Software,Medium,Email,CAD Application
TKT-0166,2026-06-17 21:21:00,No network access,Please help. My wireless connection disconnects every few minutes in the office. Please let me know what information you need.,Network and VPN,Low,Chat,Project File Share
TKT-0432,2026-07-21 20:58:00,Mailbox is full,"IT team, I am receiving a large increase in unwanted messages today. The issue continues after a restart.",Email,High,Phone,Exchange Online
TKT-0818,2026-07-25 17:30:00,Suspicious email received,"IT team, My company phone is missing and may have been left in a public location. Please let me know what information you need.",Security,High,Chat,Identity Portal
TKT-0034,2026-06-22 21:41:00,MFA code not working,Please help. My password expired and the reset page will not accept the new password. I have a client deadline later today.,Account Access,Medium,Portal,Microsoft 365
TKT-0470,2026-08-09 02:52:00,Update failed,"IT team, The application closes immediately after I open the project file. Please let me know what information you need.",Software,Medium,Portal,CAD Application
TKT-0612,2026-06-12 22:42:00,Battery drains quickly,"Hi support, The second monitor is blank and is not shown in display settings. I am working remotely today.",Hardware,Medium,Chat,Keyboard
TKT-0372,2026-08-12 06:28:00,Attachment blocked,"Hello, A project attachment is being blocked when I try to send it. I have a client deadline later today.",Email,Medium,Phone,Exchange Online
TKT-0468,2026-08-08 05:24:00,Update failed,Please help. The latest update repeatedly fails near the end of installation. The problem began after the latest update.,Software,Medium,Chat,PDF Editor
TKT-0024,2026-08-11 20:58:00,Password reset needed,"IT team, The multifactor authentication code is not arriving on my phone. I am working remotely today.",Account Access,Low,Phone,Project Portal
TKT-0634,2026-08-23 00:24:00,Monitor not detected,"Hi support, USB devices disconnect whenever I connect through the docking station. I have a client deadline later today.",Hardware,High,Portal,Laptop
TKT-0671,2026-08-17 19:32:00,Laptop will not start,The battery now lasts less than one hour after a full charge. This started this morning.,Hardware,Medium,Phone,Monitor
TKT-0790,2026-06-29 13:38:00,Suspicious email received,"IT team, The account portal reported a login from a location I do not recognize. I have a client deadline later today.",Security,High,Chat,Identity Portal
TKT-0498,2026-07-08 16:12:00,License error,"Hi support, The program displays an error message and will not open. The issue continues after a restart.",Software,Low,Portal,Finance Application
TKT-0765,2026-06-02 21:47:00,Lost company device,"IT team, I received an email asking me to sign in through a link that does not look legitimate. I have a client deadline later today.",Security,Critical,Phone,Email Gateway
TKT-0390,2026-08-26 13:11:00,Missing messages,Please help. I am receiving a large increase in unwanted messages today. I have a client deadline later today.,Email,Medium,Chat,Outlook
TKT-0840,2026-06-23 21:05:00,Unexpected login alert,Please help. A security warning appeared after I opened a downloaded file. The issue continues after a restart.,Security,Medium,Chat,Email Gateway
TKT-0489,2026-07-21 17:06:00,Program will not open,"IT team, The application closes immediately after I open the project file. This started this morning.",Software,Medium,Email,Project Management Tool
TKT-0324,2026-08-27 16:20:00,Too much spam,A project attachment is being blocked when I try to send it. This started this morning.,Email,Medium,Phone,Exchange Online
TKT-0731,2026-07-06 17:15:00,Laptop will not start,"Hi support, Several keys stopped responding after I returned from lunch. This started this morning.",Hardware,Medium,Chat,Laptop
TKT-0807,2026-08-06 16:57:00,Unexpected login alert,I received a password reset notification that I did not request. There is no error code displayed.,Security,Medium,Portal,Security Operations
TKT-0085,2026-07-06 00:00:00,Access denied,I entered the wrong password several times and my account is now locked. The issue continues after a restart.,Account Access,High,Phone,Microsoft 365
TKT-0833,2026-08-25 22:52:00,Unusual password reset,Please help. The account portal reported a login from a location I do not recognize. There is no error code displayed.,Security,Critical,Portal,Endpoint Protection
TKT-0622,2026-07-01 01:40:00,Laptop will not start,"IT team, The second monitor is blank and is not shown in display settings. I have a client deadline later today.",Hardware,Medium,Phone,Laptop
TKT-0398,2026-08-31 05:47:00,Email not sending,"IT team, I am receiving a large increase in unwanted messages today. I am working remotely today.",Email,High,Portal,Shared Mailbox
TKT-0892,2026-08-04 07:08:00,Unusual password reset,"Hello, The account portal reported a login from a location I do not recognize. Please let me know what information you need.",Security,High,Portal,Security Operations
TKT-0749,2026-07-29 06:36:00,Docking station issue,Please help. USB devices disconnect whenever I connect through the docking station. Another team member can use the same service.,Hardware,Medium,Phone,Laptop
TKT-0154,2026-07-22 11:50:00,Remote connection is slow,"Hi support, My wireless connection disconnects every few minutes in the office. The problem began after the latest update.",Network and VPN,Low,Portal,Corporate VPN
TKT-0728,2026-06-17 16:32:00,Keyboard stopped working,Please help. The laptop does not power on even when it is connected to the charger. Another team member can use the same service.,Hardware,High,Chat,Monitor
TKT-0313,2026-06-05 09:27:00,Attachment blocked,"Hello, Outlook reports that my mailbox has reached its storage limit. I am working remotely today.",Email,Medium,Email,Outlook
TKT-0200,2026-07-22 19:40:00,VPN will not connect,"Hi support, My wireless connection disconnects every few minutes in the office. This started this morning.",Network and VPN,High,Email,Office Wi Fi
TKT-0399,2026-07-13 16:16:00,Attachment blocked,Please help. A project attachment is being blocked when I try to send it. The problem began after the latest update.,Email,Medium,Email,Shared Mailbox
TKT-0226,2026-06-01 12:30:00,Cannot reach shared drive,"Hello, My laptop shows connected to Wi Fi but no internal sites will load. I am working remotely today.",Network and VPN,Low,Email,Corporate VPN
TKT-0746,2026-07-02 20:51:00,Monitor not detected,"Hi support, The second monitor is blank and is not shown in display settings. Please let me know what information you need.",Hardware,Low,Phone,Monitor
TKT-0592,2026-08-01 09:17:00,Program will not open,Please help. I need the approved software installed for a new assignment. I am working remotely today.,Software,Medium,Email,CAD Application
TKT-0509,2026-06-29 23:14:00,Application crashes,"Hello, The program says no license is available even though I used it yesterday. Please let me know what information you need.",Software,Medium,Email,CAD Application
TKT-0083,2026-06-20 00:42:00,MFA code not working,"Hi support, I changed my password this morning and now my credentials are rejected. I am working remotely today.",Account Access,Low,Chat,Project Portal
TKT-0304,2026-07-04 20:24:00,Attachment blocked,Please help. Outlook reports that my mailbox has reached its storage limit. There is no error code displayed.,Email,High,Phone,Exchange Online
TKT-0361,2026-06-27 15:14:00,Attachment blocked,"Hello, Messages remain in the outbox and do not send to external recipients. Another team member can use the same service.",Email,Low,Portal,Outlook
TKT-0060,2026-08-07 18:38:00,Account locked,"Hi support, My password expired and the reset page will not accept the new password. This started this morning.",Account Access,Low,Portal,Microsoft 365
TKT-0547,2026-07-29 02:44:00,Update failed,"IT team, The program displays an error message and will not open. The issue continues after a restart.",Software,Medium,Phone,Finance Application
TKT-0339,2026-07-29 12:08:00,Too much spam,"IT team, Messages remain in the outbox and do not send to external recipients. The issue continues after a restart.",Email,Low,Chat,Shared Mailbox
TKT-0174,2026-07-30 22:10:00,Wi Fi keeps dropping,Please help. My wireless connection disconnects every few minutes in the office. There is no error code displayed.,Network and VPN,High,Portal,Project File Share
TKT-0073,2026-07-22 06:57:00,Cannot sign in,Please help. My password expired and the reset page will not accept the new password. Another team member can use the same service.,Account Access,High,Chat,Time Entry
TKT-0843,2026-08-13 01:33:00,Possible malware warning,A security warning appeared after I opened a downloaded file. There is no error code displayed.,Security,High,Email,Security Operations
TKT-0209,2026-07-16 23:35:00,Remote connection is slow,"Hello, My wireless connection disconnects every few minutes in the office. This started this morning.",Network and VPN,High,Portal,Corporate VPN
TKT-0613,2026-07-24 13:57:00,Monitor not detected,"Hi support, The laptop does not power on even when it is connected to the charger. I am working remotely today.",Hardware,Medium,Email,Monitor
TKT-0451,2026-06-17 12:29:00,Software install request,The program says no license is available even though I used it yesterday. I am working remotely today.,Software,Medium,Email,PDF Editor
TKT-0331,2026-07-30 17:16:00,Attachment blocked,"IT team, Messages remain in the outbox and do not send to external recipients. There is no error code displayed.",Email,Medium,Chat,Email Gateway
TKT-0539,2026-07-14 02:34:00,Application crashes,"IT team, The latest update repeatedly fails near the end of installation. I have a client deadline later today.",Software,High,Phone,Project Management Tool
TKT-0631,2026-08-14 00:08:00,Laptop will not start,"Hi support, The laptop does not power on even when it is connected to the charger. This started this morning.",Hardware,Medium,Phone,Docking Station
TKT-0690,2026-07-11 21:42:00,Docking station issue,"Hello, The second monitor is blank and is not shown in display settings. I have a client deadline later today.",Hardware,Low,Chat,Monitor
TKT-0232,2026-06-27 08:16:00,Remote connection is slow,"Hi support, The network connection is extremely slow when I open large files remotely. I am working remotely today.",Network and VPN,Low,Phone,Corporate VPN
TKT-0288,2026-08-16 19:47:00,VPN will not connect,"IT team, Websites work but I cannot reach the shared project drive from home. Please let me know what information you need.",Network and VPN,Medium,Email,Project File Share
TKT-0641,2026-08-13 10:17:00,Battery drains quickly,Several keys stopped responding after I returned from lunch. The issue continues after a restart.,Hardware,Medium,Portal,Monitor
TKT-0786,2026-06-11 17:21:00,Unusual password reset,"Hello, I received an email asking me to sign in through a link that does not look legitimate. I have a client deadline later today.",Security,Medium,Email,Security Operations
TKT-0521,2026-07-03 19:48:00,Software install request,Please help. The program displays an error message and will not open. The problem began after the latest update.,Software,High,Phone,Project Management Tool
TKT-0169,2026-07-08 03:16:00,VPN will not connect,"Hi support, My laptop shows connected to Wi Fi but no internal sites will load. Please let me know what information you need.",Network and VPN,Medium,Portal,Corporate VPN
TKT-0261,2026-06-30 21:56:00,Remote connection is slow,The VPN client stops while connecting and reports that the gateway is unavailable. This started this morning.,Network and VPN,Medium,Phone,Office Wi Fi
TKT-0555,2026-07-26 00:38:00,Application crashes,"IT team, The program displays an error message and will not open. I am working remotely today.",Software,Low,Phone,Project Management Tool
TKT-0759,2026-08-24 02:07:00,Possible malware warning,Please help. My company phone is missing and may have been left in a public location. The problem began after the latest update.,Security,Medium,Email,Endpoint Protection
TKT-0062,2026-06-29 15:06:00,MFA code not working,"IT team, I changed my password this morning and now my credentials are rejected. Please let me know what information you need.",Account Access,Medium,Phone,Identity Portal
TKT-0781,2026-06-11 04:09:00,Possible malware warning,"Hi support, I received an email asking me to sign in through a link that does not look legitimate. Please let me know what information you need.",Security,High,Phone,Email Gateway
TKT-0681,2026-07-12 10:43:00,Monitor not detected,Please help. USB devices disconnect whenever I connect through the docking station. Please let me know what information you need.,Hardware,Low,Email,Docking Station
TKT-0290,2026-06-18 23:54:00,Cannot reach shared drive,Please help. Websites work but I cannot reach the shared project drive from home. Please let me know what information you need.,Network and VPN,Medium,Email,Corporate VPN
TKT-0670,2026-07-01 10:40:00,Keyboard stopped working,"IT team, The second monitor is blank and is not shown in display settings. There is no error code displayed.",Hardware,Low,Phone,Battery
TKT-0863,2026-06-24 07:37:00,Unusual password reset,"Hello, A security warning appeared after I opened a downloaded file. I have a client deadline later today.",Security,Critical,Chat,Endpoint Protection
TKT-0831,2026-08-04 03:41:00,Possible malware warning,"Hello, My company phone is missing and may have been left in a public location. The problem began after the latest update.",Security,Medium,Portal,Endpoint Protection
TKT-0595,2026-07-31 23:13:00,Update failed,"IT team, The program says no license is available even though I used it yesterday. The issue continues after a restart.",Software,Low,Phone,PDF Editor
TKT-0206,2026-07-17 05:44:00,Remote connection is slow,"IT team, The network connection is extremely slow when I open large files remotely. The problem began after the latest update.",Network and VPN,Medium,Phone,Project File Share
TKT-0438,2026-06-05 05:54:00,Missing messages,Outlook reports that my mailbox has reached its storage limit. There is no error code displayed.,Email,Medium,Portal,Exchange Online
TKT-0373,2026-08-06 10:31:00,Mailbox is full,"Hi support, Outlook reports that my mailbox has reached its storage limit. The problem began after the latest update.",Email,Medium,Chat,Exchange Online
TKT-0552,2026-07-10 07:42:00,Program will not open,Please help. I need the approved software installed for a new assignment. I have a client deadline later today.,Software,Low,Email,Project Management Tool
TKT-0784,2026-08-11 15:03:00,Lost company device,"Hi support, A security warning appeared after I opened a downloaded file. The problem began after the latest update.",Security,Critical,Email,Identity Portal
TKT-0832,2026-06-03 20:31:00,Suspicious email received,"Hi support, I received a password reset notification that I did not request. The issue continues after a restart.",Security,Medium,Phone,Email Gateway
TKT-0287,2026-06-07 11:12:00,Remote connection is slow,"Hello, My wireless connection disconnects every few minutes in the office. Please let me know what information you need.",Network and VPN,Medium,Phone,Remote Desktop
TKT-0099,2026-07-11 08:52:00,MFA code not working,"IT team, My password expired and the reset page will not accept the new password. This started this morning.",Account Access,Medium,Email,Time Entry
TKT-0812,2026-07-10 06:52:00,Possible malware warning,"Hello, I received an email asking me to sign in through a link that does not look legitimate. Please let me know what information you need.",Security,Critical,Portal,Email Gateway
TKT-0185,2026-06-09 13:28:00,VPN will not connect,The VPN client stops while connecting and reports that the gateway is unavailable. The issue continues after a restart.,Network and VPN,Medium,Email,Project File Share
TKT-0004,2026-08-09 17:56:00,Cannot sign in,"Hello, I entered the wrong password several times and my account is now locked. The problem began after the latest update.",Account Access,Low,Phone,Project Portal
TKT-0627,2026-06-25 21:23:00,Monitor not detected,Please help. USB devices disconnect whenever I connect through the docking station. There is no error code displayed.,Hardware,Low,Email,Laptop
TKT-0162,2026-08-12 00:20:00,Cannot reach shared drive,Websites work but I cannot reach the shared project drive from home. I am working remotely today.,Network and VPN,Medium,Portal,Office Wi Fi
TKT-0222,2026-08-06 20:58:00,Cannot reach shared drive,Please help. The network connection is extremely slow when I open large files remotely. Another team member can use the same service.,Network and VPN,Medium,Phone,Corporate VPN
TKT-0890,2026-07-06 20:06:00,Suspicious email received,"Hi support, I received a password reset notification that I did not request. The problem began after the latest update.",Security,Critical,Phone,Email Gateway
TKT-0513,2026-08-15 01:47:00,Software install request,The program displays an error message and will not open. Please let me know what information you need.,Software,High,Portal,CAD Application
TKT-0669,2026-06-26 04:45:00,Docking station issue,The laptop does not power on even when it is connected to the charger. I have a client deadline later today.,Hardware,Medium,Portal,Battery
TKT-0359,2026-06-30 16:04:00,Too much spam,"IT team, I am receiving a large increase in unwanted messages today. Another team member can use the same service.",Email,Low,Email,Exchange Online
TKT-0413,2026-08-10 00:04:00,Attachment blocked,"Hello, I am receiving a large increase in unwanted messages today. I am working remotely today.",Email,Low,Email,Email Gateway
TKT-0899,2026-08-14 13:42:00,Lost company device,Please help. My company phone is missing and may have been left in a public location. I am working remotely today.,Security,High,Phone,Endpoint Protection
TKT-0170,2026-07-08 03:27:00,Wi Fi keeps dropping,"Hello, My laptop shows connected to Wi Fi but no internal sites will load. This started this morning.",Network and VPN,Medium,Portal,Remote Desktop
TKT-0326,2026-06-30 21:05:00,Too much spam,"Hi support, Messages remain in the outbox and do not send to external recipients. There is no error code displayed.",Email,High,Phone,Email Gateway
TKT-0330,2026-06-05 07:59:00,Missing messages,"IT team, I am receiving a large increase in unwanted messages today. There is no error code displayed.",Email,Low,Phone,Exchange Online
TKT-0796,2026-06-07 17:51:00,Unexpected login alert,I received an email asking me to sign in through a link that does not look legitimate. The problem began after the latest update.,Security,High,Email,Identity Portal
TKT-0348,2026-07-07 04:46:00,Mailbox is full,"Hello, Messages remain in the outbox and do not send to external recipients. There is no error code displayed.",Email,Medium,Chat,Exchange Online
TKT-0441,2026-08-17 05:21:00,Too much spam,Outlook reports that my mailbox has reached its storage limit. I have a client deadline later today.,Email,Medium,Chat,Exchange Online
TKT-0379,2026-07-27 20:07:00,Email not sending,"Hello, Messages remain in the outbox and do not send to external recipients. I am working remotely today.",Email,Medium,Portal,Shared Mailbox
TKT-0177,2026-07-09 17:39:00,Remote connection is slow,"Hi support, The network connection is extremely slow when I open large files remotely. I am working remotely today.",Network and VPN,High,Portal,Corporate VPN
TKT-0078,2026-08-14 20:50:00,Access denied,The multifactor authentication code is not arriving on my phone. I have a client deadline later today.,Account Access,High,Email,Time Entry
TKT-0311,2026-07-03 17:59:00,Attachment blocked,Please help. Messages remain in the outbox and do not send to external recipients. I am working remotely today.,Email,High,Phone,Outlook
TKT-0852,2026-07-21 15:58:00,Unusual password reset,"Hi support, I received a password reset notification that I did not request. I have a client deadline later today.",Security,High,Email,Identity Portal
TKT-0862,2026-07-05 15:39:00,Possible malware warning,"Hi support, I received an email asking me to sign in through a link that does not look legitimate. Please let me know what information you need.",Security,Critical,Email,Identity Portal
TKT-0023,2026-08-11 21:04:00,Account locked,"IT team, I entered the wrong password several times and my account is now locked. The problem began after the latest update.",Account Access,Low,Email,Time Entry
TKT-0576,2026-07-27 22:06:00,Program will not open,I need the approved software installed for a new assignment. There is no error code displayed.,Software,Medium,Chat,PDF Editor
TKT-0466,2026-08-29 14:07:00,Software install request,"Hello, The program displays an error message and will not open. The issue continues after a restart.",Software,Medium,Chat,Finance Application
